Guide	Gene	aav3	aav4	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	17	18	19	20
B3gnt1_-_5038941.23-P1P2	B3gnt1	3702	3809	2178	671	1513	1140	1131	1845	1834	1643	2382	1741	1973	904	3494	1846	1507	1610	2762	2488	2132
Ccdc79_+_104509811.23-P1P2	Ccdc79	326	302	168	84	157	182	139	160	119	125	184	111	155	67	232	264	160	85	252	198	229
Paox_+_140125712.23-P1	Paox_P1	508	547	242	111	144	157	126	179	208	168	283	174	277	94	455	350	216	178	298	315	241
Usp28_-_48985510.23-P1P2	Usp28	3315	3337	1662	687	797	1275	828	1455	1552	1358	1909	1246	1554	832	1855	1823	1534	1379	2502	1970	2011
Tinag_-_77045431.23-P1P2	Tinag	5675	5898	2482	881	2448	1685	1468	3114	2693	2199	2727	2061	3017	1159	3685	2575	2277	1926	3103	3313	2798
Nup35_-_80617248.23-P1	Nup35_P1	168	145	64	0	24	0	12	100	104	34	128	51	108	50	143	153	53	93	22	49	100
Tmem169_+_72284446.23-P1P2	Tmem169	1749	1922	903	490	652	934	523	845	926	731	1011	733	998	411	1156	1159	562	960	1116	1140	953
Vps33a_-_123572948.23-P1P2	Vps33a	752	826	313	200	36	224	245	283	317	378	376	319	389	179	472	589	179	279	610	537	399
Scamp4_+_80603278.23-P1P2	Scamp4	2330	2401	1103	609	667	416	732	954	904	803	1126	905	1026	502	1835	950	995	1025	1834	1137	1300
Crcp_-_130029498.23-P1P2	Crcp	2013	2271	1030	381	1165	737	613	1087	1169	1044	1308	911	1422	497	1780	1270	911	908	2177	1502	1600
Tmem147_+_30729471.23-P1P2	Tmem147	2090	2229	1148	378	566	775	730	1072	1250	939	1504	842	1280	511	1931	1423	973	959	1958	1470	1380
Cplx4_+_65970150.23-P1P2	Cplx4	1169	1162	336	218	548	397	450	690	580	503	600	479	451	324	867	643	643	417	657	673	562
Capn9_+_124576147.23-P1P2	Capn9	3799	3923	1746	936	1615	1339	1388	2208	1712	1849	2059	1796	2058	833	2772	2148	1816	1717	2808	2289	2571
Cyp2f2_-_27120015.23-P1P2	Cyp2f2	6629	6843	3429	1233	2658	2512	1837	3096	2517	2499	3479	2460	3461	1533	4065	3821	2925	2589	4526	3970	3607
Fmo2_+_162898717.23-P1P2	Fmo2	459	474	236	87	0	104	128	159	202	191	214	172	218	122	326	309	167	253	260	372	317
