Guide	Gene	c1	c2	c3	t1	t2	t3	t4
Ppil3_+_58445393.23-P1P2	Ppil3	11395	3196	2629	10443	6417	1524	1002
non-targeting_00566	non-targeting	3954	1284	1135	3515	2422	545	385
Dnajc25_-_59003215.23-P1P2	Dnajc25	14910	3969	2935	13770	7919	1784	1250
Ttc12_-_49486163.23-P1P2	Ttc12	8008	2927	2266	7827	4804	1301	938
Ttc29_-_78213359.23-P1P2	Ttc29	2712	906	674	2331	1309	336	274
Aarsd1_+_101417348.23-P1	Aarsd1	10559	2835	2142	9104	5814	1270	875
Anapc7_+_122422495.23-P1P2	Anapc7	15110	5249	3885	14341	7318	2454	1760
Asph_+_9669021.23-P1P2	Asph	17548	4715	3498	14469	8493	2046	1312
Eif2ak3_-_70844586.23-P1P2	Eif2ak3	13443	3410	2715	10822	6172	1544	948
Ppil4_+_7792948.23-P1P2	Ppil4	2779	1008	708	2727	1524	358	290
Hspb9_-_100713999.23-P1P2	Hspb9	2777	760	600	2717	1451	432	302
Plod3_+_136987655.23-P1P2	Plod3	18919	5774	4471	16279	8654	2581	1792
Mcmbp_+_128740463.23-P1P2	Mcmbp	16906	4603	3366	13572	7921	1990	1401
Tor2a_+_32757295.23-P1P2	Tor2a	10260	3004	2265	8716	4673	1236	1011
Pdia2_-_26198960.23-P1	Pdia2	8197	2499	1945	8285	5183	1149	851
Txndc5_+_38528013.23-P1P2	Txndc5	16824	4292	3462	14629	8954	1932	1586
non-targeting_01351	non-targeting	5022	1361	1028	4422	2340	494	437
non-targeting_00562	non-targeting	6093	1650	1341	5252	2990	879	515
Bbs10_-_111298749.23-P1P2	Bbs10	9636	3126	2336	9060	4905	1712	1003
Pdilt_-_119523454.23-P1P2	Pdilt	13204	4338	3311	11350	6696	1825	1241
Faxc_+_21931377.23-P1P2	Faxc	12624	3045	2341	11890	6473	1447	1091
Dnajb14_-_137867944.23-P1P2	Dnajb14	12430	4839	3571	12459	6477	1921	1353
Hspa4l_+_40745594.23-P1P2	Hspa4l	12858	3669	2875	11270	7287	1582	1186
Atf4_+_80255865.23-P1P2	Atf4	13462	4711	3698	10830	6476	1800	1418
Txnrd1_+_82859201.23-P1P2	Txnrd1	15280	4994	3708	14155	9009	2257	1472
Ppie_-_123139927.23-P1P2	Ppie	8594	3102	2213	8253	4688	1212	950
Ift88_-_57424098.23-P1P2	Ift88	10085	3379	2593	8881	5051	1412	1055
Sil1_-_35498853.23-P1P2	Sil1	8604	2504	1971	8182	4754	1084	831
Chordc1_-_18292335.23-P1P2	Chordc1	7942	2419	1792	7766	3498	990	768
Pfdn1_-_36454477.23-P1P2	Pfdn1	8246	2868	2193	7674	4133	1075	957
Erp44_-_48279505.23-P1P2	Erp44	12528	4225	3312	12953	8878	1958	1444
non-targeting_01102	non-targeting	7059	2511	1907	6714	3706	933	757
non-targeting_01086	non-targeting	16542	5471	4108	15551	7707	2296	1718
Ptplad1_-_65021631.23-P1P2	Ptplad1	14050	4485	3313	12079	6799	1914	1287
Atf6_-_170867721.23-P1P2	Atf6	3689	1251	982	3128	1828	554	328
Tomm34_-_164071016.23-P1P2	Tomm34	12188	1991	1546	10375	6018	741	565
Bbs10_-_111298746.23-P1P2	Bbs10	14641	4255	3271	12176	6855	1938	1393
Ogt_+_101640121.23-P1P2	Ogt	2825	998	747	2758	1718	429	291
Dcp1a_+_30479650.23-P1P2	Dcp1a	5048	1401	1164	5155	2655	693	501
Dnajb5_-_42949933.23-P1P2	Dnajb5	911	226	207	864	243	140	93
Ttc26_+_38381585.23-P1P2	Ttc26	6610	2226	1581	5751	2901	926	700
Dnajc11_-_151933761.23-P1P2	Dnajc11	14164	4373	3297	12388	7111	1810	1370
Erlec1_+_30954353.23-P1P2	Erlec1	6835	1962	1561	7168	4125	966	697
Ogt_+_101640157.23-P1P2	Ogt	8044	2482	1838	8650	4867	1314	797
Dcp1a_-_30479684.23-P1P2	Dcp1a	7914	2818	2077	6774	4149	1151	828
Ppih_-_119320510.23-P1P2	Ppih	2666	864	669	2944	1701	371	287
non-targeting_00853	non-targeting	4896	1514	1236	4424	2597	784	490
Clgn_-_83389904.23-P1P2	Clgn	5259	1543	1058	4390	2604	679	509
Adrm1_-_180171657.23-P1P2	Adrm1	19471	5857	4400	17268	9542	2556	1820
Tcp1_-_12916515.23-P1P2	Tcp1	5192	1425	1144	4497	3118	539	429
Ift88_+_57424121.23-P1P2	Ift88	18401	6124	4706	15378	9640	2689	1735
Ttc17_+_94406639.23-P1	Ttc17	15897	3804	2685	13943	8119	1668	1264
Dnajc18_-_35703057.23-P1P2	Dnajc18	2302	703	525	2100	1214	293	229
Dnajc2_+_21785155.23-P1P2	Dnajc2	6863	3006	2291	6513	4204	1299	897
non-targeting_01605	non-targeting	11659	3014	2121	9887	5207	1259	916
Mzb1_+_35649279.23-P1P2	Mzb1	14169	3416	2608	11885	6875	1619	1175
Lrp2bp_+_46010662.23-P1	Lrp2bp	9994	3050	2415	9816	5454	1505	1163
Ero1lb_+_12565949.23-P1P2	Ero1lb	6119	1816	1350	5795	3611	828	601
Pdia6_-_17266606.23-P1P2	Pdia6	18600	5507	4109	17531	10126	2463	1702
Trap1_+_4077784.23-P1P2	Trap1	704	220	132	692	567	74	61
Pin1_+_20652396.23-P1P2	Pin1	19975	5754	4422	17689	9974	2542	1869
Sgtb_-_104109840.23-P1P2	Sgtb	16168	4274	3300	15770	9012	2118	1484
Lonrf1_-_36249419.23-P1P2	Lonrf1	11009	2871	2066	10799	6062	1326	1001
non-targeting_00564	non-targeting	6841	2309	1888	6538	3571	1049	702
Pdia2_+_26198975.23-P1	Pdia2	7690	2225	1768	6410	3508	1025	654
Dnajc8_-_132535790.23-P1P2	Dnajc8	13934	4459	3299	13046	7703	1999	1365
Hsp90b1_+_86705457.23-P1P2	Hsp90b1	12328	3881	2980	11044	6384	1630	1260
Dnajc1_+_18392717.23-P1P2	Dnajc1	13643	3462	2604	12225	6976	1729	1167
non-targeting_00844	non-targeting	10551	3334	2557	10284	5520	1513	1112
Dnajc11_+_151933954.23-P1P2	Dnajc11	17641	5032	3729	15453	9275	2143	1697
Fkbp11_+_98728141.23-P1P2	Fkbp11	13151	3796	2830	11494	6293	1696	1269
Ttc25_-_100545703.23-P1P2	Ttc25	1962	667	514	1512	1160	290	196
non-targeting_01114	non-targeting	12960	4246	3341	12701	7143	1855	1322
Bag1_-_40948156.23-P1P2	Bag1	5766	1484	1085	4179	3365	642	435
Ficd_-_113735865.23-P1P2	Ficd	16733	4912	3763	14668	8661	2262	1634
Opa1_+_29579439.23-P1P2	Opa1	7766	2278	1653	7250	4248	866	609
non-targeting_00299	non-targeting	2315	705	580	2646	1064	297	247
Tor2a_-_32757308.23-P1P2	Tor2a	10212	2771	2042	9605	5479	1307	923
Ifit1_-_34640921.23-P1P2	Ifit1	15838	5403	4195	14850	8762	2094	1614
Ppp5c_+_17027831.23-P1P2	Ppp5c	3429	809	642	3307	2217	402	308
Txn1_+_57956066.23-P1P2	Txn1	10536	3198	2462	9185	5252	1458	1025
Hspa8_-_40801348.23-P1	Hspa8	13121	3243	2547	10019	5243	1105	816
Ppil4_+_7792969.23-P1P2	Ppil4	11224	3634	2707	9535	5428	1402	1151
Pdia2_-_26198937.23-P1	Pdia2	7504	2342	1884	7017	4228	1097	728
Ttc7b_-_100520628.23-P1P2	Ttc7b	3198	1054	751	3007	1573	411	351
Cct4_+_22990874.23-P1P2	Cct4	12610	3184	2307	8475	5007	1160	751
Ttc22_+_106622462.23-P1P2	Ttc22	12059	3287	2440	11093	6687	1360	1083
Tor2a_-_32757302.23-P1P2	Tor2a	8303	2465	1950	7405	5405	1176	731
Psmd4_+_95042506.23-P1P2	Psmd4	9590	3096	2394	8280	5289	1223	872
