Guide	Gene	c1	c2	c3	t1	t2	t3	t4
Nudcd2_+_40733972.23-P1P2	Nudcd2	7893	2013	1446	7069	3563	777	597
Tmtc1_-_148444281.23-P1P2	Tmtc1	1831	268	232	1339	599	119	72
Sh3tc2_-_61953119.23-P1P2	Sh3tc2	20847	6376	4709	18753	11485	2760	1956
Klc4_+_46645074.23-P1P2	Klc4	4494	1497	1211	3468	2109	669	584
non-targeting_01598	non-targeting	12439	4129	3168	10121	6829	1564	1151
Dnajc6_+_101508040.23-P1P2	Dnajc6	3317	995	711	3016	1680	467	311
non-targeting_01109	non-targeting	7588	2431	1990	7100	4498	1140	841
non-targeting_01108	non-targeting	5971	1716	1365	6186	3875	697	509
Dnajb5_+_42949884.23-P1P2	Dnajb5	12680	3591	2847	11064	6423	1700	1272
Unc45a_+_80340173.23-P1P2	Unc45a	13951	3163	2361	12192	6442	1292	838
Clpx_-_65294315.23-P1P2	Clpx	11203	3925	3166	11101	6123	1732	1255
Spag1_+_36179372.23-ENSMUST00000047348.3,ENSMUST00000171205.1	Spag1	6323	1723	1278	5955	3177	833	598
Sh3tc2_+_61953065.23-P1P2	Sh3tc2	9001	2369	1752	8375	4899	1011	862
Cct5_-_31601757.23-P1P2	Cct5	3649	1286	981	2192	1198	316	250
Srp68_+_116274102.23-P1P2	Srp68	11598	3561	2805	10455	6164	1723	1076
Pdcd11_-_47090823.23-P1P2	Pdcd11	19411	6045	4400	16677	9819	2497	1734
Hspa13_+_75766718.23-P1P2	Hspa13	3255	1148	845	2886	1451	467	341
Dnajc24_-_106003205.23-P1P2	Dnajc24	3507	889	763	3027	1915	390	246
Txn1_+_57956276.23-P1P2	Txn1	1988	672	469	2020	981	239	212
Cct5_-_31601697.23-P1P2	Cct5	14288	4772	3637	10395	6137	1696	1269
Nktr_+_121719430.23-P1P2	Nktr	16088	5097	3746	13445	7875	2350	1553
Txndc5_-_38528746.23-P1P2	Txndc5	4895	1555	1206	4702	2868	714	425
Plod2_+_92542330.23-P1P2	Plod2	16547	4273	3122	13848	7781	1924	1330
Atf4_+_80255561.23-P1P2	Atf4	13916	4325	3211	11782	7218	1699	1355
Cct8_-_87495845.23-P1P2	Cct8	20159	5640	4375	12986	7430	1822	1272
non-targeting_01101	non-targeting	11225	3141	2428	9403	5891	1128	952
Plod1_-_147936681.23-P1P2	Plod1	17833	5342	4191	16431	9520	2255	1606
non-targeting_01359	non-targeting	7702	2280	1807	6641	3661	962	607
Fkbp15_-_62360448.23-P1P2	Fkbp15	13479	3365	2553	11231	7645	1422	1126
Ppia_+_6416289.23-P1P2	Ppia	14160	4007	2801	13552	7271	2146	1366
Rapsn_-_91035638.23-P1P2	Rapsn	5747	1815	1278	5275	2745	799	606
Dnajc5g_+_31108304.23-P1P2	Dnajc5g	9958	2858	2291	8166	5185	1319	951
Erp27_-_136922177.23-P1P2	Erp27	9924	3000	2294	9764	6149	1368	949
Pex5l_+_33143161.23-P2	Pex5l	5668	1946	1451	4648	2605	835	577
Hsp90b1_+_86705407.23-P1P2	Hsp90b1	6926	2232	1759	7227	3843	1051	814
Erp44_+_48279534.23-P1P2	Erp44	10755	3427	2584	9153	5229	1386	1044
Lonrf3_-_36328678.23-P1P2	Lonrf3	17821	4880	3690	16758	10074	2121	1691
Phgdh_+_98339619.23-P1P2	Phgdh	7220	2232	1778	7634	4964	1013	780
non-targeting_00850	non-targeting	14695	4375	3245	12964	8194	1875	1391
non-targeting_01090	non-targeting	13304	3743	2815	11095	6496	1609	1091
Atf6_-_170867691.23-P1P2	Atf6	10415	3650	2738	10301	6374	1450	1076
Ttc24_+_88071993.23-P1	Ttc24	13487	3971	2895	12806	8154	1769	1275
Dnajb14_-_137867930.23-P1P2	Dnajb14	15400	4213	3174	13820	7506	2011	1307
Hsf5_-_87617212.23-P1P2	Hsf5	12009	3138	2293	10790	7032	1424	1071
Dnajc19_-_34081319.23-P1P2	Dnajc19	11679	3516	2578	10589	5177	1471	1025
Pdrg1_-_153015312.23-P1P2	Pdrg1	5548	1550	1131	3665	1765	381	276
Hspa5_-_34772158.23-P1P2	Hspa5	14736	4568	3644	11602	6853	1778	1232
Hspa2_+_76404203.23-P1P2	Hspa2	12165	3757	2944	10371	5782	1723	1193
non-targeting_00835	non-targeting	4721	1419	1112	4157	2749	615	426
Dnajb14_-_137867947.23-P1P2	Dnajb14	15777	4739	3642	14929	8536	2248	1484
Dnajb11_+_22857929.23-P1P2	Dnajb11	3804	1302	1000	3435	2073	577	389
Hsf1_-_76477460.23-P1P2	Hsf1	17520	4614	3614	13934	8731	1869	1428
Erp44_-_48279292.23-P1P2	Erp44	13870	3660	2886	11355	6637	1567	1155
Tanc1_+_59612113.23-P1P2	Tanc1	12618	3343	2613	11443	6905	1520	1067
Gak_+_108629694.23-P1P2	Gak	14409	4785	3724	12688	7586	2329	1522
Xbp1_-_5521033.23-P1P2	Xbp1	14975	3979	3190	11894	6533	1926	1328
Pfdn2_-_171345736.23-P1P2	Pfdn2	17366	4397	3246	7645	4708	1076	741
Tmx2_-_84677841.23-P1P2	Tmx2	5801	2056	1569	4869	2600	803	580
Dnajc12_-_63386672.23-P1P2	Dnajc12	9563	3166	2251	7885	4496	1326	884
Bcs1l_-_74588584.23-P1P2	Bcs1l	21803	5660	4550	18682	10441	2492	1763
Nln_-_104109499.23-P1P2	Nln	10091	2300	1722	8066	4675	976	680
Txndc12_-_108834695.23-P1P2	Txndc12	15513	4940	3711	15420	8968	2297	1623
Dnajb13_+_100514756.23-P1P2	Dnajb13	2337	823	628	2188	1391	438	254
Ttc8_+_98920645.23-P1P2	Ttc8	5092	1552	1242	4767	2690	715	432
Canx_-_50325626.23-P1P2	Canx	11559	3894	3102	12064	6609	1864	1200
Ttc36_-_44802890.23-P1P2	Ttc36	10075	3035	2470	9346	5093	1408	1025
Dnajc5_+_181520563.23-P1P2	Dnajc5	13372	3866	2780	11911	6988	1629	1014
Hspb9_+_100714129.23-P1P2	Hspb9	6565	2058	1601	5589	2870	931	643
Tor1a_-_30967734.23-P1P2	Tor1a	24160	7521	5976	21518	12337	3149	2158
non-targeting_01325	non-targeting	12718	4038	2983	11429	6644	1602	1141
Bbs10_+_111298729.23-P1P2	Bbs10	15180	4339	3453	14056	7549	1965	1327
Rapsn_-_91036045.23-P1P2	Rapsn	11967	3255	2521	10256	6280	1189	1028
non-targeting_00265	non-targeting	15231	4199	3223	12734	8221	2043	1361
Dnaja2_-_85555277.23-P1P2	Dnaja2	7445	1996	1512	6725	4443	894	655
Klc2_+_5118094.23-P1P2	Klc2	12564	3202	2552	10619	6040	1304	918
Cct8l1_+_25516338.23-P1P2	Cct8l1	10402	2798	2159	9345	5787	1316	941
Pdia3_-_121413972.23-P1P2	Pdia3	14199	4311	3331	11501	6297	1866	1229
Ttc27_-_74717965.23-P1P2	Ttc27	7823	2269	1695	7624	4457	1104	788
Txndc16_-_45219323.23-P1P2	Txndc16	9929	2754	2058	9175	4856	1308	854
Psmd4_+_95042545.23-P1P2	Psmd4	13216	4202	3157	11525	7200	2063	1363
Hspa1b_+_34959159.23-P1P2	Hspa1b	18733	6430	5094	16968	8877	2626	1869
Bcs1l_-_74588406.23-P1P2	Bcs1l	15987	4620	3749	13729	7540	2098	1520
non-targeting_00547	non-targeting	11806	2731	2023	10277	4895	1242	837
Pex5l_+_33143188.23-P2	Pex5l	10080	3128	2292	9036	4985	1503	1071
non-targeting_00029	non-targeting	7150	2271	1787	6295	3546	994	799
non-targeting_00852	non-targeting	6926	2000	1433	5581	3459	793	629
Aipl1_+_72037427.23-P1P2	Aipl1	1190	415	319	1231	664	190	139
non-targeting_01583	non-targeting	10474	2816	2026	8807	4571	1299	912
Dcp1b_+_119175366.23-P1P2	Dcp1b	10899	3809	2850	9695	5463	1868	1282
Ppil6_+_41490473.23-P1P2	Ppil6	14163	3969	3039	12779	6809	1739	1389
Dnajc9_+_20388638.23-P1P2	Dnajc9	9995	3143	2469	8927	5398	1300	1027
Ppil4_+_7792916.23-P1P2	Ppil4	1726	591	412	1845	993	252	206
Psmg3_+_139826636.23-P1P2	Psmg3	20599	6609	4936	17466	9781	2749	1883
Mlf1_-_67374143.23-P1P2	Mlf1	11368	3644	2752	10218	6208	1542	1077
Sh3tc1_+_35729034.23-P1P2	Sh3tc1	11282	2963	2206	10126	5699	1161	942
Anapc5_+_122821228.23-P1P2	Anapc5	11012	3514	2618	10071	5704	1492	1164
Agr3_+_35925755.23-P1P2	Agr3	4668	1780	1487	4895	2808	721	552
Zmynd12_-_119422861.23-P1P2	Zmynd12	12900	3878	3217	11001	6204	1775	1258
Klc3_+_19404081.23-P2	Klc3	15678	4592	3597	14721	8498	2115	1619
Cacybp_-_160212420.23-P1P2	Cacybp	2405	598	464	1924	1227	269	154
Dnajc19_-_34081059.23-P1P2	Dnajc19	6379	1923	1522	5606	3417	860	620
Spag1_-_36179349.23-ENSMUST00000047348.3,ENSMUST00000171205.1	Spag1	16414	4957	3654	14977	9132	2222	1635
Txn2_+_77928888.23-P1	Txn2	14384	4452	3290	13446	8037	2147	1324
non-targeting_01618	non-targeting	14408	4427	3351	12496	7124	2034	1284
Cabin1_+_75764297.23-P1P2	Cabin1	14852	4434	3420	14391	8750	1906	1334
non-targeting_00264	non-targeting	21860	6895	5132	19792	11384	2971	2011
non-targeting_00297	non-targeting	8019	2320	1764	6971	4478	1070	789
Pdilt_-_119523419.23-P1P2	Pdilt	7866	2343	1940	7832	4183	1018	850
Tmtc4_+_122983187.23-P1P2	Tmtc4	17864	5072	3550	16979	9362	2345	1640
Ppil3_-_58445268.23-P1P2	Ppil3	11472	3146	2475	10291	5945	1289	1023
Ttc28_+_110879886.23-P1P2	Ttc28	11923	2964	2179	11446	6321	1417	963
non-targeting_01600	non-targeting	5949	1959	1536	5995	3694	945	776
Leprel1_+_26105757.23-P1P2	Leprel1	13187	4113	3150	11670	6338	1924	1236
non-targeting_00838	non-targeting	5852	2106	1658	5989	3202	941	607
Ppil2_+_17111219.23-P1P2	Ppil2	9692	3183	2702	8979	5239	1417	916
Ttc13_+_124721942.23-P1P2	Ttc13	11613	3698	2887	9362	5666	1766	1236
Txnrd1_-_82859264.23-P1P2	Txnrd1	8112	2264	1749	7304	4156	1114	786
Hspa12a_+_58860921.23-P1P2	Hspa12a	6590	1978	1497	5815	3162	856	659
Dnajc5_+_181520560.23-P1P2	Dnajc5	19684	6673	5268	17297	9345	2979	2183
non-targeting_01601	non-targeting	5836	2101	1660	5088	2887	836	618
non-targeting_00290	non-targeting	4823	1420	1106	4347	2968	639	453
Dnajb2_-_75236466.23-P1P2	Dnajb2	7013	2439	1925	7231	3760	959	641
Hspb3_-_113663621.23-P1P2	Hspb3	3644	972	728	3042	1548	369	270
Cct8_-_87495794.23-P1P2	Cct8	9384	3154	2530	6450	3624	1141	741
non-targeting_00537	non-targeting	3483	1099	857	2900	1856	498	344
Tmtc3_+_100487299.23-P1P2	Tmtc3	7708	1996	1494	6868	3560	913	694
Nudc_+_133545894.23-P1P2	Nudc	6693	2026	1558	3485	1738	517	376
non-targeting_00032	non-targeting	15989	4637	3504	12904	6986	2017	1439
Sh3tc1_+_35729004.23-P1P2	Sh3tc1	13369	3949	2979	12503	6372	1678	1320
Ttc5_+_50785259.23-P1P2	Ttc5	3087	857	674	2438	1939	342	313
Hspa9_+_34954115.23-P1P2	Hspa9	13999	3615	2687	11644	6749	1490	1224
Lrp2bp_-_45999344.23-P2	Lrp2bp	14772	4493	3287	12908	7337	1912	1393
non-targeting_00865	non-targeting	13396	3924	3080	11656	7212	1737	1180
Fkbp15_-_62360454.23-P1P2	Fkbp15	12655	3774	2964	11587	6379	1740	1180
Crnkl1_-_145934709.23-P1P2	Crnkl1	4880	1552	1256	4560	2668	676	523
Hspa12b_+_131127449.23-P1P2	Hspa12b	3835	1140	923	3439	1536	477	403
Usp19_-_108491147.23-P1P2	Usp19	10597	3321	2459	8953	5030	1511	1014
P4ha2_+_54113404.23-P2	P4ha2	9136	3178	2602	7912	4557	1359	965
Dnajb11_-_22857908.23-P1P2	Dnajb11	10663	3470	2847	9502	5440	1519	1133
Dnaja4_-_54699587.23-P1P2	Dnaja4	13081	3199	2506	11825	6751	1570	1053
Ttc7b_-_100520835.23-P1P2	Ttc7b	17451	4886	3761	16502	9184	2132	1592
Sil1_-_35498721.23-P1P2	Sil1	14124	4458	3021	13788	8083	2024	1418
non-targeting_00557	non-targeting	1222	387	299	1144	869	189	140
Ahsa1_-_87266774.23-P1P2	Ahsa1	4928	1508	1060	4317	2504	551	391
Nln_-_104109524.23-P1P2	Nln	15486	4214	3176	15719	8087	1980	1543
non-targeting_01585	non-targeting	12661	3052	2319	12019	6789	1435	1012
Pex5l_-_33083037.23-P1	Pex5l	12593	4327	3421	10481	6000	1800	1218
Ern1_-_106487788.23-P1P2	Ern1	11828	3568	2714	11415	6963	1787	1139
Asna1_+_85025216.23-P1P2	Asna1	11630	4623	3545	9483	4569	1220	973
Ptplad1_-_65021759.23-P1P2	Ptplad1	18985	4820	3774	17383	9743	2373	1525
non-targeting_00046	non-targeting	4035	1442	1131	3632	2492	737	487
Sugt1_-_79588011.23-P1P2	Sugt1	8081	2405	1893	7803	4713	998	740
Clpx_-_65294301.23-P1P2	Clpx	18318	5276	3560	16974	10564	2677	1728
Txndc11_+_11134518.23-P1P2	Txndc11	5189	1653	1290	4718	2503	631	500
Ttc23_-_67647643.23-P1P2	Ttc23	7084	2120	1685	6656	3893	985	671
Bag3_+_128523808.23-P1P2	Bag3	20534	5616	4146	18777	10749	2422	1752
Ppil2_+_17111149.23-P1P2	Ppil2	11763	3394	2628	10254	5385	1573	1023
non-targeting_01352	non-targeting	12805	3394	2632	12435	6518	1611	1048
Clgn_-_83389927.23-P1P2	Clgn	10818	3454	2710	10057	5504	1457	1119
non-targeting_01349	non-targeting	4298	1506	1084	3586	2335	712	461
non-targeting_00579	non-targeting	9135	2707	2185	9028	5030	1245	777
non-targeting_01589	non-targeting	6895	2058	1727	6087	3582	1031	623
Hspa4_-_53300423.23-P1P2	Hspa4	13135	3457	2665	11612	6300	1589	1037
Dnajb6_-_29736019.23-P1P2	Dnajb6	6185	2066	1525	5702	3663	916	541
Ogt_-_101640301.23-P1P2	Ogt	14006	4729	3523	12032	6352	1874	1404
Dnajb8_-_88222322.23-P1P2	Dnajb8	1608	497	402	1477	733	265	115
Ttc14_-_33800205.23-P1P2	Ttc14	12832	3257	2359	11963	6540	1498	1081
non-targeting_01345	non-targeting	6945	2220	1644	6663	3633	1057	624
Zfc3h1_-_115384991.23-P1P2	Zfc3h1	19967	5036	3678	19305	9920	2108	1557
Dnajc24_-_106003155.23-P1P2	Dnajc24	10339	2992	2280	9050	5524	1422	1007
Irs4_+_141725194.23-P1P2	Irs4	8011	2704	2054	7000	3799	1149	699
Ppil2_-_17111175.23-P1P2	Ppil2	9945	3312	2441	7792	4905	1345	875
non-targeting_00531	non-targeting	3495	1153	959	3194	1652	533	405
Plod1_-_147936452.23-P1P2	Plod1	5734	1706	1322	5807	3126	827	657
Erlec1_+_30954288.23-P1P2	Erlec1	5750	1503	1140	5977	3388	856	495
Klc3_+_19404087.23-P2	Klc3	9710	2454	1953	9255	5584	1237	903
Spag1_+_36179356.23-ENSMUST00000047348.3,ENSMUST00000171205.1	Spag1	9778	2491	1820	8819	5587	984	766
Dnajb12_+_59879646.23-P1P2	Dnajb12	6644	1776	1362	5765	3580	683	500
Ttc22_+_106622498.23-P1P2	Ttc22	4794	1556	1248	4391	2389	697	485
Ctr9_+_111029061.23-P1P2	Ctr9	7667	2090	1718	6916	4103	913	701
Clgn_+_83389885.23-P1P2	Clgn	1274	371	225	1097	811	149	116
Hsfy2_-_56637441.23-P1P2	Hsfy2	5263	1737	1373	5181	2896	791	492
non-targeting_01330	non-targeting	13015	3470	2514	11655	6011	1458	975
Psmg1_-_95990882.23-P1P2	Psmg1	9738	3051	2371	8794	5206	1457	957
non-targeting_01595	non-targeting	9814	3074	2236	7884	4467	1295	865
Ttc7b_-_100520806.23-P1P2	Ttc7b	3063	957	712	2583	1282	379	270
Cryab_+_50753271.23-P1P2	Cryab	14670	4561	3477	12742	7297	2063	1334
Sugt1_-_79587803.23-P1P2	Sugt1	1226	367	344	1018	673	164	170
non-targeting_00286	non-targeting	14428	4153	3117	11883	7111	1826	1220
Pex5_-_124415052.23-P1P2	Pex5	11234	2842	2188	8858	5448	1328	969
Ahsa1_+_87266721.23-P1P2	Ahsa1	12136	3799	2847	11033	5498	1699	1056
Ttc1_-_43747945.23-P1P2	Ttc1	8255	2470	1860	3723	2055	665	491
Tmtc4_-_122983153.23-P1P2	Tmtc4	8689	2243	1694	7077	3427	998	583
Wdtc1_+_133338720.23-P1P2	Wdtc1	8518	2195	1784	7701	3994	930	681
Nln_-_104109334.23-P1P2	Nln	12865	4403	3351	12021	6915	1923	1404
Cct2_-_117063732.23-P1P2	Cct2	12701	4264	3128	11201	6838	1823	1172
non-targeting_01366	non-targeting	8257	2534	2124	7508	4273	1109	744
Dcp1b_-_119175256.23-P1P2	Dcp1b	10043	3292	2408	9236	5039	1574	957
Clu_+_65969823.23-P2	Clu	7840	2461	1985	7217	3828	1023	713
Bag4_-_25785163.23-P1P2	Bag4	6232	1635	1279	4978	3744	684	541
Cdc16_-_13757755.23-P1P2	Cdc16	10973	3233	2569	9746	6288	1602	1101
Ttc32_-_9030084.23-P1P2	Ttc32	14475	4596	3411	13358	8840	2051	1514
Hspb11_-_107253984.23-P1P2	Hspb11	12076	3715	2810	10720	5662	1570	1210
Dnajc21_-_10470559.23-P1P2	Dnajc21	10488	2518	1876	8745	5326	1107	724
Dnajc8_+_132535813.23-P1P2	Dnajc8	10321	3153	2412	9569	5739	1538	1044
Ppwd1_+_104228765.23-P1P2	Ppwd1	13694	4188	3155	11889	6191	1926	1249
Phb_-_95667004.23-P1P2	Phb	11503	3393	2566	9753	5292	1679	1135
Gtf3c3_-_54438690.23-P1P2	Gtf3c3	3207	1100	889	2009	1436	351	267
Dnajc3_+_118937933.23-P1P2	Dnajc3	15296	4582	3572	13931	7913	2131	1534
non-targeting_00288	non-targeting	11180	3774	2998	9947	5448	1571	1080
Hspa1a_-_34971592.23-P1P2	Hspa1a	6600	2181	1658	6384	3698	981	696
Klc3_-_19404063.23-P2	Klc3	9294	2557	1965	8315	4402	1100	772
Hspb2_-_50752107.23-P1P2	Hspb2	9017	2675	2092	8637	5058	1246	870
Dcp1a_+_30479676.23-P1P2	Dcp1a	1952	601	448	1658	968	230	154
Ppil3_+_58445272.23-P1P2	Ppil3	15339	5399	4107	13423	8088	2145	1611
Psmc1_-_100110401.23-P1P2	Psmc1	9423	2606	1898	3957	2727	579	411
Cct8l1_+_25516162.23-P1P2	Cct8l1	11508	3759	2915	11332	7004	1810	1223
Pdrg1_-_153015178.23-P1P2	Pdrg1	18120	4733	3706	12189	6218	1556	1012
Clu_-_65968688.23-P1	Clu	3016	982	683	2555	1591	364	281
non-targeting_01097	non-targeting	11508	3743	2799	9100	5963	1453	1036
Aarsd1_+_101424619.23-P2	Aarsd1	13582	3889	2774	12758	7050	1804	1231
Psmg1_+_95990839.23-P1P2	Psmg1	19148	4500	3411	16960	9738	2111	1455
Phb2_-_124712362.23-P1P2	Phb2	5037	1490	1201	4325	2559	685	423
Unc45a_+_80340140.23-P1P2	Unc45a	3651	1165	871	3491	2059	509	304
non-targeting_00028	non-targeting	10932	3276	2552	9863	5703	1175	932
Fkbp10_+_100415788.23-P1P2	Fkbp10	11680	3511	2708	11545	6228	1641	1086
Grpel2_+_61726315.23-P1P2	Grpel2	23646	6681	5181	22055	12943	2887	2112
Tanc1_+_59612128.23-P1P2	Tanc1	10030	2603	1941	8875	4914	1071	795
Srp68_+_116274077.23-P1P2	Srp68	9361	2720	2213	7360	4480	1084	750
Unc45b_-_82911444.23-P1P2	Unc45b	6494	2337	1815	6572	3966	911	749
non-targeting_00565	non-targeting	18384	5476	3962	16829	9412	2478	1681
Psmd2_-_20651713.23-P1P2	Psmd2	18865	5090	3637	8120	5402	1212	883
Dnajb7_-_81408275.23-P1P2	Dnajb7	5532	1868	1463	4991	2699	752	535
Ttc19_-_62281498.23-P1P2	Ttc19	9943	3574	2750	9038	5098	1335	987
Dnajc7_-_100619629.23-P1P2	Dnajc7	6855	1781	1258	5507	3507	927	566
Aip_-_4121317.23-P1P2	Aip	21118	6617	5124	19244	11019	2560	1862
Hspb7_-_141420957.23-P1P2	Hspb7	10370	3193	2463	9403	4614	1270	944
Dnaja3_+_4684336.23-P1P2	Dnaja3	4978	1533	1183	4364	2363	554	460
Fkbp14_+_54592987.23-P1P2	Fkbp14	21977	6800	5312	19392	10570	3157	2442
non-targeting_01117	non-targeting	10408	3234	2571	8331	4871	1370	1028
Pfdn5_-_102326131.23-P1P2	Pfdn5	15368	4643	3523	12090	6949	1760	1336
Dnaja2_-_85555315.23-P1P2	Dnaja2	11916	3571	2735	9889	5197	1439	1049
Vbp1_-_75514391.23-P1P2	Vbp1	6103	2047	1603	4970	2840	696	437
Faxc_-_21931373.23-P1P2	Faxc	7397	1763	1336	6598	3694	923	580
Sec63_+_42761817.23-P1P2	Sec63	11435	3129	2275	9704	5527	1323	972
Ero1l_+_45318509.23-P1P2	Ero1l	14380	4224	3264	14151	6897	2071	1491
Nasp_-_116627370.23-P1P2	Nasp	16970	5136	3652	14594	8524	2195	1592
Edem3_+_151755470.23-P1P2	Edem3	18405	5878	4431	15633	8653	2471	1738
Fkbp4_-_128438595.23-P1P2	Fkbp4	10989	3352	2556	9737	6248	1480	1148
Vcp_+_43000058.23-P1P2	Vcp	12145	3469	2564	11689	6971	1566	1150
non-targeting_00012	non-targeting	8110	2462	1933	6986	3994	1088	729
Cct5_-_31601709.23-P1P2	Cct5	10130	3153	2410	9343	5879	1345	900
non-targeting_00258	non-targeting	6523	2344	1777	6173	3514	927	689
Ttc4_-_106678895.23-P1P2	Ttc4	12536	3812	3086	10341	6283	1827	1222
non-targeting_01106	non-targeting	5380	1512	1335	4831	3292	802	509
Appbp2_+_85235066.23-P1P2	Appbp2	7437	2021	1648	6667	4114	936	664
non-targeting_00551	non-targeting	5672	2077	1602	5589	3569	841	703
Hspb8_+_116422712.23-P1P2	Hspb8	8794	2325	1799	7522	4167	973	705
non-targeting_00841	non-targeting	8661	2606	2081	7163	4552	1273	802
Ttc25_+_100545758.23-P1P2	Ttc25	3193	1041	892	2696	1834	503	358
non-targeting_01337	non-targeting	7614	2515	1909	7014	4152	1095	710
Hspe1_+_55088523.23-P1P2	Hspe1	6631	2029	1552	6094	3128	888	597
Hspa13_-_75766775.23-P1P2	Hspa13	6173	1924	1526	5543	3141	767	572
Cdc27_+_104550432.23-P1P2	Cdc27	18399	4860	3472	17381	10067	2421	1460
Faxc_+_21931406.23-P1P2	Faxc	17642	4823	3803	15803	9668	2395	1480
Fkbp2_+_6980408.23-P1P2	Fkbp2	11868	3589	2742	10866	6784	1789	1175
non-targeting_01367	non-targeting	11782	4153	3312	10610	5563	1596	1227
Tmx1_+_70453195.23-P1P2	Tmx1	14866	4688	3500	13009	7670	1804	1412
Calr_-_84846799.23-P1P2	Calr	10693	3055	2494	9435	5860	1281	876
Dnajb9_+_44210045.23-P1P2	Dnajb9	10377	3073	2353	9895	5447	1466	973
Ero1l_+_45318396.23-P1P2	Ero1l	20842	5710	4473	18482	10407	2576	1957
Anapc5_+_122821220.23-P1P2	Anapc5	12896	4252	3291	10714	5949	1835	1317
Ppib_+_66060308.23-P1P2	Ppib	12117	3709	2786	10764	6425	1739	1236
Calr_-_84846812.23-P1P2	Calr	16314	5060	3767	13032	8695	2038	1503
Nudcd3_-_6200099.23-P1P2	Nudcd3	10709	3309	2629	9197	5803	1582	1153
Ppia_-_6416413.23-P1P2	Ppia	10829	3250	2482	9349	5264	1351	1071
Zc3h7b_-_81745085.23-P1P2	Zc3h7b	2374	812	613	2177	1153	277	228
Dnajc8_+_132535810.23-P1P2	Dnajc8	12331	3845	3080	10469	6253	1800	1144
Tmx4_+_134644078.23-P1P2	Tmx4	7317	2505	1792	6922	4501	1119	861
non-targeting_01096	non-targeting	18902	6030	4634	17359	9339	2497	1946
Xbp1_+_5521034.23-P1P2	Xbp1	6951	2158	1807	6634	3498	941	623
Dnajc6_+_101507960.23-P1P2	Dnajc6	14214	4767	3674	13006	7490	1918	1471
Crnkl1_-_145934645.23-P1P2	Crnkl1	14775	4137	3182	11651	6093	1489	1027
Fkbp5_-_28517512.23-P2	Fkbp5	11184	4235	3159	10706	6567	1723	1078
non-targeting_00555	non-targeting	7580	2045	1648	6667	4224	833	805
Cbl_-_44233976.23-P1P2	Cbl	3619	1044	793	3221	1412	428	343
Pdia3_+_121414199.23-P1P2	Pdia3	8284	2312	1854	7697	3858	915	777
Erlec1_+_30954317.23-P1P2	Erlec1	7362	1640	1279	6073	3562	691	459
non-targeting_00277	non-targeting	16224	5452	4151	12847	6999	2178	1594
Fkbp5_+_28486040.23-P1	Fkbp5	18506	4940	3700	15505	9097	2170	1638
Pdia3_-_121413985.23-P1P2	Pdia3	15086	4655	3498	14204	8381	2120	1643
Ttc1_+_43747915.23-P1P2	Ttc1	22024	6039	4394	12907	8351	1784	1341
Ttc14_+_33800186.23-P1P2	Ttc14	6217	1781	1392	5373	3742	906	585
Tmx4_-_134644089.23-P1P2	Tmx4	10568	3210	2454	9436	4769	1447	999
Cabin1_-_75764151.23-P1P2	Cabin1	7136	2205	1568	6277	3830	806	567
Clu_+_65969831.23-P2	Clu	11326	3929	3169	10235	5752	1674	1334
Mlf1_-_67374426.23-P1P2	Mlf1	14650	5318	4134	13076	7154	2088	1403
Ppif_+_25694254.23-P1P2	Ppif	22251	6633	5014	21040	11596	3180	2301
non-targeting_00869	non-targeting	4884	1384	1063	4583	2374	657	405
Fkbp7_-_76673037.23-P1P2	Fkbp7	3599	1269	933	3192	2290	505	393
Aarsd1_-_101424602.23-P2	Aarsd1	13443	4571	3471	12493	7147	1932	1485
P4ha2_-_54101059.23-P1	P4ha2	19289	5765	4452	16764	10308	2637	1780
Ppih_+_119320504.23-P1P2	Ppih	14935	4221	2997	12895	6968	1789	1219
Pdia4_+_47813340.23-P1P2	Pdia4	14539	4707	3395	12702	7258	1828	1181
Tusc3_+_39005930.23-P1P2	Tusc3	14599	3978	3058	14600	7989	1814	1398
non-targeting_00824	non-targeting	13895	4570	3528	12603	7424	2120	1475
Tmx1_-_70453155.23-P1P2	Tmx1	6283	2255	1701	5923	3129	1086	632
Txndc16_-_45219367.23-P1P2	Txndc16	6596	1824	1444	5383	3175	693	558
Psmd2_-_20651783.23-P1P2	Psmd2	6327	1825	1434	5709	3370	889	599
Sil1_-_35498816.23-P1P2	Sil1	10244	3176	2327	8968	5307	1379	1006
Cdc37l1_+_28990563.23-P1P2	Cdc37l1	8739	2374	1812	8507	4441	981	709
Phb_-_95667012.23-P1P2	Phb	15211	4107	3218	13116	7236	1775	1250
Fkbp14_-_54593128.23-P1P2	Fkbp14	1676	545	410	1301	652	250	142
Tomm34_+_164071100.23-P1P2	Tomm34	3248	891	701	3178	1800	435	319
Cct7_-_85452473.23-P1P2	Cct7	18710	4692	3682	14894	8513	2090	1468
Hspa1b_-_34959125.23-P1P2	Hspa1b	7418	2392	1707	6025	3903	1032	752
Txndc16_+_45219358.23-P1P2	Txndc16	16097	5090	3870	14727	9048	2605	1800
non-targeting_00259	non-targeting	8770	3057	2348	8018	3867	1130	822
Ttc18_-_20451983.23-P1P2	Ttc18	3644	1140	911	3611	2090	551	347
Ptplad1_+_65021632.23-P1P2	Ptplad1	21299	6304	4848	17821	11020	2904	1924
P4ha3_-_100285592.23-P1P2	P4ha3	5592	1427	1112	5694	2874	679	516
