cohort	replicate	subset	num_overlapping	frac_overlapping
size_7_28	28	7	12	0.5714285714285714
size_7_29	29	7	15	0.7142857142857142
size_7_30	30	7	19	0.9047619047619047
size_7_31	31	7	12	0.5714285714285714
size_7_32	32	7	18	0.8571428571428571
size_7_33	33	7	15	0.7142857142857142
size_7_34	34	7	18	0.8571428571428571
size_7_35	35	7	17	0.8095238095238095
size_7_36	36	7	9	0.42857142857142855
size_7_37	37	7	18	0.8571428571428571
size_7_38	38	7	11	0.5238095238095237
size_7_39	39	7	11	0.5238095238095237
size_7_40	40	7	14	0.6666666666666666
size_7_41	41	7	15	0.7142857142857142
size_7_42	42	7	19	0.9047619047619047
size_7_43	43	7	18	0.8571428571428571
size_7_44	44	7	15	0.7142857142857142
size_7_45	45	7	9	0.42857142857142855
size_7_46	46	7	16	0.7619047619047619
size_7_47	47	7	17	0.8095238095238095
size_7_48	48	7	4	0.19047619047619047
size_7_49	49	7	13	0.6190476190476191
size_8_0	0	8	17	0.8095238095238095
size_8_1	1	8	5	0.23809523809523808
size_8_2	2	8	17	0.8095238095238095
size_8_3	3	8	14	0.6666666666666666
size_8_4	4	8	7	0.3333333333333333
size_8_5	5	8	9	0.42857142857142855
size_8_6	6	8	15	0.7142857142857142
size_8_7	7	8	9	0.42857142857142855
size_8_8	8	8	6	0.2857142857142857
size_8_9	9	8	17	0.8095238095238095
size_8_10	10	8	14	0.6666666666666666
size_8_11	11	8	14	0.6666666666666666
size_8_12	12	8	18	0.8571428571428571
size_8_13	13	8	6	0.2857142857142857
size_8_14	14	8	13	0.6190476190476191
size_8_15	15	8	14	0.6666666666666666
size_8_16	16	8	15	0.7142857142857142
size_8_17	17	8	8	0.38095238095238093
size_8_18	18	8	13	0.6190476190476191
size_8_19	19	8	8	0.38095238095238093
size_8_20	20	8	17	0.8095238095238095
size_8_21	21	8	17	0.8095238095238095
size_8_22	22	8	11	0.5238095238095237
size_8_23	23	8	11	0.5238095238095237
size_8_24	24	8	15	0.7142857142857142
size_8_25	25	8	18	0.8571428571428571
size_8_26	26	8	10	0.47619047619047616
size_8_27	27	8	15	0.7142857142857142
size_8_28	28	8	13	0.6190476190476191
size_8_29	29	8	17	0.8095238095238095
size_8_30	30	8	13	0.6190476190476191
size_8_31	31	8	14	0.6666666666666666
size_8_32	32	8	13	0.6190476190476191
size_8_33	33	8	18	0.8571428571428571
size_8_34	34	8	19	0.9047619047619047
size_8_35	35	8	10	0.47619047619047616
size_8_36	36	8	13	0.6190476190476191
size_8_37	37	8	11	0.5238095238095237
size_8_38	38	8	16	0.7619047619047619
size_8_39	39	8	10	0.47619047619047616
size_8_40	40	8	18	0.8571428571428571
size_8_41	41	8	15	0.7142857142857142
size_8_42	42	8	18	0.8571428571428571
size_8_43	43	8	8	0.38095238095238093
size_8_44	44	8	11	0.5238095238095237
size_8_45	45	8	15	0.7142857142857142
size_8_46	46	8	13	0.6190476190476191
size_8_47	47	8	13	0.6190476190476191
size_8_48	48	8	17	0.8095238095238095
size_8_49	49	8	13	0.6190476190476191
size_9_0	0	9	12	0.5714285714285714
size_9_1	1	9	14	0.6666666666666666
size_9_2	2	9	18	0.8571428571428571
size_9_3	3	9	10	0.47619047619047616
