cohort	replicate	subset	num_overlapping	frac_overlapping
size_2_3	3	2	55	0.5288461538461539
size_2_4	4	2	42	0.40384615384615385
size_2_5	5	2	55	0.5288461538461539
size_2_6	6	2	75	0.7211538461538461
size_2_7	7	2	47	0.4519230769230769
size_2_8	8	2	53	0.5096153846153847
size_2_9	9	2	52	0.5
size_2_10	10	2	42	0.40384615384615385
size_2_11	11	2	51	0.4903846153846154
size_2_12	12	2	48	0.46153846153846156
size_2_13	13	2	65	0.625
size_2_14	14	2	36	0.34615384615384615
size_2_15	15	2	46	0.44230769230769235
size_2_16	16	2	63	0.6057692307692308
size_2_17	17	2	34	0.3269230769230769
size_2_18	18	2	39	0.375
size_2_19	19	2	62	0.5961538461538461
size_2_20	20	2	25	0.2403846153846154
size_2_21	21	2	53	0.5096153846153847
size_2_22	22	2	69	0.6634615384615385
size_2_23	23	2	62	0.5961538461538461
size_2_24	24	2	44	0.42307692307692313
size_2_25	25	2	42	0.40384615384615385
size_2_26	26	2	34	0.3269230769230769
size_2_27	27	2	55	0.5288461538461539
size_2_28	28	2	70	0.6730769230769231
size_2_29	29	2	43	0.4134615384615385
size_2_30	30	2	34	0.3269230769230769
size_2_31	31	2	34	0.3269230769230769
size_2_32	32	2	42	0.40384615384615385
size_2_33	33	2	34	0.3269230769230769
size_2_34	34	2	66	0.6346153846153847
size_2_35	35	2	50	0.4807692307692308
size_2_36	36	2	49	0.4711538461538462
size_2_37	37	2	56	0.5384615384615385
size_2_38	38	2	28	0.2692307692307693
size_2_39	39	2	54	0.5192307692307693
size_2_40	40	2	43	0.4134615384615385
size_2_41	41	2	57	0.5480769230769231
size_2_42	42	2	55	0.5288461538461539
size_2_43	43	2	70	0.6730769230769231
size_2_44	44	2	69	0.6634615384615385
size_2_45	45	2	49	0.4711538461538462
size_2_46	46	2	63	0.6057692307692308
size_2_47	47	2	62	0.5961538461538461
size_2_48	48	2	51	0.4903846153846154
size_2_49	49	2	46	0.44230769230769235
size_3_0	0	3	50	0.4807692307692308
size_3_1	1	3	39	0.375
size_3_2	2	3	66	0.6346153846153847
size_3_3	3	3	44	0.42307692307692313
size_3_4	4	3	70	0.6730769230769231
size_3_5	5	3	53	0.5096153846153847
size_3_6	6	3	56	0.5384615384615385
size_3_7	7	3	61	0.5865384615384616
size_3_8	8	3	61	0.5865384615384616
size_3_9	9	3	56	0.5384615384615385
size_3_10	10	3	66	0.6346153846153847
size_3_11	11	3	54	0.5192307692307693
size_3_12	12	3	63	0.6057692307692308
size_3_13	13	3	11	0.10576923076923078
size_3_14	14	3	67	0.6442307692307693
size_3_15	15	3	78	0.75
size_3_16	16	3	47	0.4519230769230769
size_3_17	17	3	51	0.4903846153846154
size_3_18	18	3	68	0.6538461538461539
size_3_19	19	3	53	0.5096153846153847
size_3_20	20	3	66	0.6346153846153847
size_3_21	21	3	39	0.375
size_3_22	22	3	70	0.6730769230769231
size_3_23	23	3	58	0.5576923076923077
size_3_24	24	3	56	0.5384615384615385
size_3_25	25	3	54	0.5192307692307693
size_3_26	26	3	36	0.34615384615384615
size_3_27	27	3	76	0.7307692307692308
size_3_28	28	3	53	0.5096153846153847
size_3_29	29	3	77	0.7403846153846154
size_3_30	30	3	61	0.5865384615384616
size_3_31	31	3	70	0.6730769230769231
size_3_32	32	3	53	0.5096153846153847
size_3_33	33	3	47	0.4519230769230769
size_3_34	34	3	71	0.6826923076923077
size_3_35	35	3	74	0.7115384615384616
size_3_36	36	3	61	0.5865384615384616
size_3_37	37	3	75	0.7211538461538461
size_3_38	38	3	77	0.7403846153846154
size_3_39	39	3	49	0.4711538461538462
size_3_40	40	3	69	0.6634615384615385
size_3_41	41	3	21	0.20192307692307693
size_3_42	42	3	67	0.6442307692307693
size_3_43	43	3	45	0.4326923076923077
size_3_44	44	3	63	0.6057692307692308
size_3_45	45	3	29	0.27884615384615385
size_3_46	46	3	54	0.5192307692307693
size_3_47	47	3	46	0.44230769230769235
size_3_48	48	3	55	0.5288461538461539
size_3_49	49	3	61	0.5865384615384616
size_4_0	0	4	62	0.5961538461538461
size_4_1	1	4	49	0.4711538461538462
size_4_2	2	4	59	0.5673076923076923
size_4_3	3	4	57	0.5480769230769231
size_4_4	4	4	66	0.6346153846153847
size_4_5	5	4	73	0.701923076923077
size_4_6	6	4	45	0.4326923076923077
size_4_7	7	4	81	0.7788461538461539
size_4_8	8	4	67	0.6442307692307693
size_4_9	9	4	65	0.625
size_4_10	10	4	68	0.6538461538461539
size_4_11	11	4	80	0.7692307692307693
size_4_12	12	4	55	0.5288461538461539
size_4_13	13	4	63	0.6057692307692308
size_4_14	14	4	63	0.6057692307692308
size_4_15	15	4	76	0.7307692307692308
size_4_16	16	4	49	0.4711538461538462
size_4_17	17	4	79	0.7596153846153847
size_4_18	18	4	78	0.75
